events,numbers,stations,serviceCustomer,times
Production complete,97,Cash 1,0,5591.840139641206
Creation,98,Service Customers Source,1,5188.0
Production started,98,Service Desk,1,5249.232105229972
Production complete,98,Service Desk,1,5640.569265057776
Creation,99,Regular Customers Source,0,5223.0
Production started,99,Cash 2,0,5590.132243050878
Production complete,99,Cash 2,0,5696.136616425039
Creation,100,Regular Customers Source,0,5153.0
Production started,100,Cash 1,0,5591.840139641206
Production complete,100,Cash 1,0,5794.880877265469
Creation,101,Service Customers Source,1,5484.0
Production started,101,Service Desk,1,5640.569265057776
Production complete,101,Service Desk,1,5865.961077403649
Creation,102,Regular Customers Source,0,5285.0
Production started,102,Cash 1,0,5794.880877265469
Production complete,102,Cash 1,0,5910.079806554225
Creation,103,Regular Customers Source,0,5354.0
Production started,103,Cash 2,0,5696.136616425039
Production complete,103,Cash 2,0,5984.185430631843
Creation,104,Service Customers Source,1,5768.0
Production started,104,Service Desk,1,5865.961077403649
Production complete,104,Service Desk,1,6008.348582323603
Creation,105,Regular Customers Source,0,5428.0
Production started,105,Cash 1,0,5910.079806554225
Production complete,105,Cash 1,0,6021.632560962077
Creation,106,Regular Customers Source,0,5499.0
Production started,106,Cash 2,0,5984.185430631843
Production complete,106,Cash 2,0,6105.132489532924
Creation,107,Regular Customers Source,0,5640.0
Production started,107,Cash 2,0,6105.132489532924
Production complete,107,Cash 2,0,6106.513851872663
Creation,108,Regular Customers Source,0,4237.0
Production started,108,Service Desk,0,6008.348582323603
Production complete,108,Service Desk,0,6148.80926497022
Creation,109,Regular Customers Source,0,5569.0
Production started,109,Cash 1,0,6021.632560962077
Production complete,109,Cash 1,0,6213.853763835799
Creation,110,Service Customers Source,1,6056.0
Production started,110,Service Desk,1,6148.80926497022
Production complete,110,Service Desk,1,6258.241713782354
Creation,111,Regular Customers Source,0,5746.0
Production started,111,Cash 2,0,6106.513851872663
Production complete,111,Cash 2,0,6267.515132204721
Creation,112,Regular Customers Source,0,5806.0
Production started,112,Cash 1,0,6213.853763835799
Production complete,112,Cash 1,0,6329.5920125683015
Creation,113,Regular Customers Source,0,4992.0
Production started,113,Service Desk,0,6258.241713782354
Production complete,113,Service Desk,0,6445.548048923719
Creation,114,Regular Customers Source,0,5976.0
Production started,114,Cash 2,0,6267.515132204721
Production complete,114,Cash 2,0,6461.417550404008
Creation,115,Regular Customers Source,0,5851.0
Production started,115,Cash 1,0,6329.5920125683015
Production complete,115,Cash 1,0,6560.344364387502
Creation,116,Regular Customers Source,0,6163.0
Production started,116,Cash 2,0,6461.417550404008
Production complete,116,Cash 2,0,6596.722762711335
Creation,117,Service Customers Source,1,6352.0
Production started,117,Service Desk,1,6445.548048923719
Production complete,117,Service Desk,1,6659.47722891376
Creation,118,Regular Customers Source,0,6218.0
Production started,118,Cash 2,0,6596.722762711335
Production complete,118,Cash 2,0,6720.127419369754
Creation,119,Regular Customers Source,0,5913.0
Production started,119,Cash 1,0,6560.344364387502
Production complete,119,Cash 1,0,6743.117778671811
Creation,120,Regular Customers Source,0,6288.0
Production started,120,Cash 2,0,6720.127419369754
Production complete,120,Cash 2,0,6967.949860978211
Creation,121,Regular Customers Source,0,6103.0
Production started,121,Cash 1,0,6743.117778671811
Production complete,121,Cash 1,0,6972.462376892518
Creation,122,Service Customers Source,1,6632.0
Production started,122,Service Desk,1,6659.47722891376
Production complete,122,Service Desk,1,6987.977739796779
Creation,123,Regular Customers Source,0,6344.0
Production started,123,Cash 1,0,6972.462376892518
Production complete,123,Cash 1,0,6989.948836657096
Creation,124,Regular Customers Source,0,6934.0
Production started,124,Cash 3,0,6934.0
Production complete,124,Cash 3,0,7035.581713436208
Creation,125,Regular Customers Source,0,6514.0
Production started,125,Cash 2,0,6967.949860978211
Production complete,125,Cash 2,0,7112.110442537664
Creation,126,Regular Customers Source,0,6653.0
Production started,126,Cash 2,0,7112.110442537664
Production complete,126,Cash 2,0,7205.5332067332365
Creation,127,Regular Customers Source,0,6383.0
Production started,127,Cash 1,0,6989.948836657096
Production complete,127,Cash 1,0,7209.53377308669
Creation,128,Service Customers Source,1,6960.0
Production started,128,Service Desk,1,6987.977739796779
Production complete,128,Service Desk,1,7221.984969212775
Creation,129,Regular Customers Source,0,6590.0
Production started,129,Cash 1,0,7209.53377308669
Production complete,129,Cash 1,0,7238.065957071723
Creation,130,Regular Customers Source,0,6755.0
Production started,130,Cash 1,0,7238.065957071723
Production complete,130,Cash 1,0,7375.837699247877
Creation,131,Regular Customers Source,0,5693.0
Production started,131,Service Desk,0,7221.984969212775
Production complete,131,Service Desk,0,7384.2909402950845
Creation,132,Regular Customers Source,0,6706.0
Production started,132,Cash 2,0,7205.5332067332365
Production complete,132,Cash 2,0,7489.647733696715
Creation,133,Service Customers Source,1,7237.0
Production started,133,Service Desk,1,7384.2909402950845
Production complete,133,Service Desk,1,7574.139297004191
Creation,134,Regular Customers Source,0,6990.0
Production started,134,Cash 1,0,7375.837699247877
Production complete,134,Cash 1,0,7592.492311898261
Creation,135,Regular Customers Source,0,6813.0
Production started,135,Cash 2,0,7489.647733696715
Production complete,135,Cash 2,0,7610.962302042035
Creation,136,Regular Customers Source,0,7113.0
Production started,136,Cash 2,0,7610.962302042035
Production complete,136,Cash 2,0,7727.093527084841
Creation,137,Service Customers Source,1,7511.0
Production started,137,Service Desk,1,7574.139297004191
Production complete,137,Service Desk,1,7765.852176374412
Creation,138,Regular Customers Source,0,7059.0
Production started,138,Cash 1,0,7592.492311898261
Production complete,138,Cash 1,0,7799.4139478943125
Creation,139,Regular Customers Source,0,7726.0
Production started,139,Cash 3,0,7726.0
Production complete,139,Cash 3,0,7906.592331421379
Creation,140,Regular Customers Source,0,6038.0
Production started,140,Service Desk,0,7765.852176374412
Production complete,140,Service Desk,0,7911.964969762866
Creation,141,Regular Customers Source,0,7180.0
Production started,141,Cash 2,0,7727.093527084841
Production complete,141,Cash 2,0,7917.9102171780805
Creation,142,Regular Customers Source,0,7360.0
Production started,142,Cash 2,0,7917.9102171780805
Production complete,142,Cash 2,0,7955.857646220819
Creation,143,Regular Customers Source,0,7238.0
Production started,143,Cash 1,0,7799.4139478943125
Production complete,143,Cash 1,0,7962.365518977188
Creation,144,Regular Customers Source,0,7899.0
Production started,144,Cash 3,0,7906.592331421379
Production complete,144,Cash 3,0,8023.336449339218
Creation,145,Regular Customers Source,0,7304.0
Production started,145,Cash 1,0,7962.365518977188
Production complete,145,Cash 1,0,8060.2671808812875
Creation,146,Regular Customers Source,0,7533.0
Production started,146,Cash 2,0,7955.857646220819
Production complete,146,Cash 2,0,8064.5279185780255
Creation,147,Regular Customers Source,0,7664.0
Production started,147,Cash 2,0,8064.5279185780255
Production complete,147,Cash 2,0,8209.80593271414
Creation,148,Service Customers Source,1,7823.0
Production started,148,Service Desk,1,7911.964969762866
Production complete,148,Service Desk,1,8237.351526255941
Creation,149,Regular Customers Source,0,7412.0
Production started,149,Cash 1,0,8060.2671808812875
Production complete,149,Cash 1,0,8246.020638397431
Creation,150,Regular Customers Source,0,7792.0
Production started,150,Cash 2,0,8209.80593271414
Production complete,150,Cash 2,0,8344.47567691315
Creation,151,Service Customers Source,1,8105.0
Production started,151,Service Desk,1,8237.351526255941
Production complete,151,Service Desk,1,8510.522763883546
Creation,152,Regular Customers Source,0,7596.0
Production started,152,Cash 1,0,8246.020638397431
Production complete,152,Cash 1,0,8512.065808133042
Creation,153,Regular Customers Source,0,8472.0
Production started,153,Cash 3,0,8472.0
Production complete,153,Cash 3,0,8524.656500956946
Creation,154,Regular Customers Source,0,7941.0
Production started,154,Cash 2,0,8344.47567691315
Production complete,154,Cash 2,0,8617.399020665674
Creation,155,Service Customers Source,1,8388.0
Production started,155,Service Desk,1,8510.522763883546
Production complete,155,Service Desk,1,8651.30261079747
Creation,156,Regular Customers Source,0,7848.0
Production started,156,Cash 1,0,8512.065808133042
Production complete,156,Cash 1,0,8653.721053171445
Creation,157,Regular Customers Source,0,8066.0
Production started,157,Cash 2,0,8617.399020665674
Production complete,157,Cash 2,0,8689.344857295364
Creation,158,Regular Customers Source,0,8600.0
Production started,158,Cash 3,0,8600.0
Production complete,158,Cash 3,0,8750.336938011427
Creation,159,Regular Customers Source,0,8001.0
Production started,159,Cash 1,0,8653.721053171445
Production complete,159,Cash 1,0,8799.115177318225
Creation,160,Regular Customers Source,0,6459.0
Production started,160,Service Desk,0,8651.30261079747
Production complete,160,Service Desk,0,8806.901839861619
Creation,161,Regular Customers Source,0,8186.0
Production started,161,Cash 2,0,8689.344857295364
Production complete,161,Cash 2,0,8821.109560922192
Creation,162,Regular Customers Source,0,8127.0
Production started,162,Cash 1,0,8799.115177318225
Production complete,162,Cash 1,0,8925.927096898144
Creation,163,Regular Customers Source,0,8234.0
Production started,163,Cash 2,0,8821.109560922192
Production complete,163,Cash 2,0,9026.105811850051
Creation,164,Regular Customers Source,0,8288.0
Production started,164,Cash 1,0,8925.927096898144
Production complete,164,Cash 1,0,9029.107495133883
Creation,165,Service Customers Source,1,8675.0
Production started,165,Service Desk,1,8806.901839861619
Production complete,165,Service Desk,1,9037.85414337874
Creation,166,Regular Customers Source,0,8539.0
Production started,166,Cash 1,0,9029.107495133883
Production complete,166,Cash 1,0,9040.442202151655
Creation,167,Regular Customers Source,0,8408.0
Production started,167,Cash 2,0,9026.105811850051
Production complete,167,Cash 2,0,9182.628176865233
Creation,168,Regular Customers Source,0,8659.0
Production started,168,Cash 1,0,9040.442202151655
Production complete,168,Cash 1,0,9219.443965764587
Creation,169,Regular Customers Source,0,8732.0
Production started,169,Cash 2,0,9182.628176865233
Production complete,169,Cash 2,0,9258.23890036013
